ts_code,symbol,name,market,area,industry,ths_industry,ths_concepts,pe,pb,total_mv,circ_mv,turnover_rate,turnover_rate_f,list_date,cr_end_date,current_ratio,fcf_end_date,fcf
920002.BJ,920002,万达轴承,北交所,江苏,工程机械,工业(A股),融资融券|机器人概念|专精特新|人形机器人,70.7851,5.9636,443653.938,310587.3128,6.966,11.0624,20240530,,,,
920091.BJ,920091,大鹏工业,北交所,黑龙江,专用机械,工业(A股),融资融券|新能源汽车|机器人概念|新股与次新股|专精特新|比亚迪概念|机器视觉|长安汽车概念,70.4036,5.7038,268910.25,63438.375,4.5491,4.5491,20251121,,,,
920118.BJ,920118,太湖远大,北交所,浙江,塑料,信息技术(A股),智能电网|融资融券|新能源汽车|光伏概念|工业互联网|储能|专精特新|柔性直流输电,41.1492,1.7969,105852.417,64151.1377,1.5575,1.8119,20240822,,,,
920029.BJ,920029,开发科技,北交所,四川,电器仪表,信息技术(A股),智能电网|融资融券|充电桩|一带一路|央企国企改革|人民币贬值受益|储能|国企改革|西部大开发,13.1826,2.4623,931512.8756,906411.9281,0.498,1.6874,20250328,,,,
920116.BJ,920116,星图测控,北交所,安徽,软件服务,信息技术(A股),融资融券|卫星导航|军工|人工智能|专精特新|数字经济|AIGC概念|国企改革|数据要素|军工信息化|商业航天|DeepSeek概念,142.1773,24.687,1433597.165,1377069.785,1.912,6.1222,20250102,,,,
920111.BJ,920111,聚星科技,北交所,浙江,电气设备,工业(A股),融资融券|新能源汽车|共同富裕示范区|专精特新,37.507,4.3876,449948.05,218335.5625,3.9875,6.3363,20241111,,,,
920082.BJ,920082,方正阀门,北交所,浙江,机械基件,工业(A股),融资融券|海工装备|天然气|专精特新,34.0822,3.6208,195793.185,53296.7665,2.4914,2.4999,20241226,,,,
920128.BJ,920128,胜业电气,北交所,广东,元器件,信息技术(A股),融资融券|特高压|新能源汽车|一带一路|家用电器|储能|专精特新|柔性直流输电,113.8732,4.1296,211987.09,63447.3,5.9907,5.9907,20241129,,,,
001285.SZ,001285,瑞立科密,主板,广东,汽车配件,非日常生活消费品(A股),融资融券|新能源汽车|汽车电子|新股与次新股|深股通|无人驾驶|注册制次新股|专精特新|传感器|比亚迪概念|飞行汽车(eVTOL)|低空经济,26.8728,2.3118,894945.0399,206114.4566,4.8487,4.8487,20250930,20260331,3.2882,20260331,-58825708.760000005
920003.BJ,920003,中诚咨询,北交所,江苏,建筑工程,工业(A股),融资融券|新股与次新股|数字经济,18.4018,2.8519,186765.4294,38425.8952,3.2373,3.2373,20251107,,,,
920108.BJ,920108,宏海科技,北交所,湖北,家用电器,非日常生活消费品(A股),融资融券|一带一路|机器人概念|家用电器|小米概念,96.191,3.6915,177021.6,75010.7442,1.9403,3.0915,20250206,,,,
920068.BJ,920068,天工股份,北交所,江苏,小金属,工业(A股),融资融券|海工装备|3D打印|小金属概念|无人机|消费电子概念|专精特新|商业航天,85.4021,9.3614,1195158.8273,316623.2686,0.9813,2.4922,20250513,,,,
920009.BJ,920009,丹娜生物,北交所,天津,医疗保健,医疗保健(A股),融资融券|基因测序|新股与次新股|人工智能|流感|专精特新|猴痘概念|宠物经济,30.8858,4.5162,301886.578,39241.44,3.9497,3.9497,20251103,,,,
920066.BJ,920066,科拜尔,北交所,安徽,塑料,原材料(A股),融资融券|新能源汽车|家用电器|染料|专精特新,52.0354,3.6117,147202.4895,46543.3295,4.756,4.756,20241031,,,,
688755.SH,688755,汉邦科技,科创板,江苏,专用机械,医疗保健(A股),融资融券|新股与次新股|注册制次新股|科创次新股|专精特新,55.4838,2.6144,330968.0,231061.834,0.7339,0.9134,20250516,,,,
920100.BJ,920100,三协电机,北交所,江苏,电气设备,工业(A股),融资融券|安防|机器人概念|光伏概念|3D打印|新股与次新股|智能物流|汽车热管理|减速器|新型工业化|人形机器人,80.9107,10.2614,488691.3753,129573.8837,28.7738,28.7738,20250908,,,,
603014.SH,603014,威高血净,主板,山东,医疗保健,医疗保健(A股),融资融券|一带一路|医疗器械概念|新股与次新股|股权转让(并购重组)|注册制次新股,29.7358,1.9772,1434149.7086,348397.5999,1.2402,1.2402,20250519,20260331,3.7067,,
603175.SH,603175,超颖电子,主板,湖北,元器件,信息技术(A股),融资融券|新能源汽车|特斯拉概念|一带一路|机器人概念|汽车电子|新股与次新股|无人驾驶|OLED|芯片概念|消费电子概念|人民币贬值受益|数据中心|注册制次新股|海峡两岸|东数西算(算力)|PCB概念|比亚迪概念|毫米波雷达|存储芯片|智能座舱,178.0045,15.036,4118127.2918,428503.7635,12.6601,12.6601,20251024,20260331,1.1726,,
001280.SZ,001280,中国铀业,主板,北京,小金属,原材料(A股),融资融券|稀土永磁|一带一路|小金属概念|核电|央企国企改革|新股与次新股|深股通|军工|中字头股票|注册制次新股|国企改革|超导概念,95.5006,9.2286,15714045.4532,1201146.9939,6.0032,6.0032,20251203,20260331,3.6113,20260331,646815154.32
920080.BJ,920080,奥美森,北交所,广东,专用机械,工业(A股),融资融券|机器人概念|家用电器|新股与次新股|风电|军工|锂电池概念|工业互联网|数据中心|新型工业化,25.5776,3.2656,190734.0,52798.1609,2.3401,2.3401,20251010,,,,
920015.BJ,920015,锦华新材,北交所,浙江,化工原料,原材料(A股),融资融券|新股与次新股|芯片概念|光刻胶|有机硅概念|专精特新|国企改革,30.0387,3.4232,584292.3348,172453.6164,8.0856,8.0856,20250925,,,,
920007.BJ,920007,酉立智能,北交所,江苏,电气设备,信息技术(A股),融资融券|一带一路|光伏概念|新股与次新股|人民币贬值受益,22.1954,3.1121,202889.8422,48488.8246,2.6742,2.6742,20250808,,,,
920035.BJ,920035,精创电气,北交所,江苏,专用机械,信息技术(A股),物联网|融资融券|冷链物流|新股与次新股|跨境电商|芯片概念|人民币贬值受益|专精特新|液冷服务器|云计算,32.0287,3.3701,190071.96,42758.7984,2.8766,2.8766,20251202,,,,
920056.BJ,920056,能之光,北交所,浙江,塑料,原材料(A股),融资融券|光伏概念|3D打印|新股与次新股|锂电池概念|专精特新|钙钛矿电池|POE胶膜|固态电池,30.6701,3.0636,168775.0522,63723.4581,3.6438,3.6637,20250822,,,,
920027.BJ,920027,交大铁发,北交所,四川,运输设备,工业(A股),融资融券|高铁|水利|新股与次新股|专精特新|西部大开发,29.4673,2.8115,130368.961,69466.961,2.6815,2.6815,20250610,,,,
920022.BJ,920022,世昌股份,北交所,河北,汽车配件,非日常生活消费品(A股),融资融券|新能源汽车|新股与次新股|氢能源|专精特新|传感器|比亚迪概念,20.5384,3.4583,141452.745,38962.175,3.382,3.382,20250919,,,,
920018.BJ,920018,宏远股份,北交所,辽宁,电气设备,工业(A股),融资融券|特高压|新能源汽车|水利|新股与次新股|柔性直流输电|数字经济,30.262,3.4463,321889.1378,111797.7664,2.9789,2.9789,20250820,,,,
920101.BJ,920101,志高机械,北交所,浙江,专用机械,工业(A股),融资融券|光伏概念|高铁|水利|新股与次新股|专精特新|中俄贸易概念,24.6945,2.5827,277250.8211,86515.6563,1.8544,1.8544,20250814,,,,
920037.BJ,920037,广信科技,北交所,湖南,电气设备,原材料(A股),智能电网|融资融券|特高压|无人机|新股与次新股|军工|专精特新|中俄贸易概念|2025年报预增,29.9605,7.5017,592734.5207,191594.4535,4.7034,4.7034,20250626,,,,
920106.BJ,920106,林泰新材,北交所,江苏,汽车配件,非日常生活消费品(A股),融资融券|新能源汽车|碳纤维|军工|农机|两轮车|比亚迪概念|长安汽车概念|飞行汽车(eVTOL)|低空经济|2025年报预增,18.1369,4.4773,256085.5875,197538.323,1.8626,2.9085,20241218,,,,
920005.BJ,920005,鼎佳精密,北交所,江苏,元器件,信息技术(A股),融资融券|新能源汽车|智能穿戴|新股与次新股|消费电子概念|专精特新|海峡两岸|汽车热管理|AI眼镜,44.1337,4.2556,263691.0,68305.5,1.3562,1.3562,20250731,,,,
