ts_code,csname,extname,cname,index_code,index_name,list_date,exchange
159195.SZ,华安国证石油天然气ETF,石油ETF华安,华安国证石油天然气交易型开放式指数证券投资基金,399439.SZ,国证石油天然气指数,20260402,SZ
159196.SZ,易方达中证港股通信息技术综合ETF,港股通信息技术ETF易方达,易方达中证港股通信息技术综合交易型开放式指数证券投资基金,930967.CSI,中证港股通信息技术综合指数,20260402,SZ
159197.SZ,招商国证石油天然气ETF,石油ETF招商,招商国证石油天然气交易型开放式指数证券投资基金,399439.SZ,国证石油天然气指数,20260402,SZ
159198.SZ,富国中证港股通信息技术综合ETF,港股通信息技术ETF富国,富国中证港股通信息技术综合交易型开放式指数证券投资基金,930967.CSI,中证港股通信息技术综合指数,20260403,SZ
159199.SZ,平安国证石油天然气ETF,石油ETF平安,平安国证石油天然气交易型开放式指数证券投资基金,399439.SZ,国证石油天然气指数,20260409,SZ
159200.SZ,富国中证AAA科技创新公司债ETF,科创债ETF富国,富国中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250717,SZ
159201.SZ,华夏国证自由现金流ETF,自由现金流ETF华夏,华夏国证自由现金流交易型开放式指数证券投资基金,980092.SZ,国证自由现金流指数,20250227,SZ
159202.SZ,万家恒生互联网科技业ETF(QDII),恒生互联网ETF万家,万家恒生互联网科技业交易型开放式指数证券投资基金(QDII),HSIII.HI,恒生互联网科技业指数,20250416,SZ
159203.SZ,博时国证大盘成长ETF,大盘成长ETF博时,博时国证大盘成长交易型开放式指数证券投资基金,399372.SZ,国证大盘成长指数,20250630,SZ
159205.SZ,创业板ETF东财,创业板ETF东财,东财创业板交易型开放式指数证券投资基金,399006.SZ,创业板指数,20250612,SZ
159206.SZ,卫星ETF永赢,卫星ETF永赢,永赢国证商用卫星通信产业交易型开放式指数证券投资基金,980018.SZ,国证商用卫星通信产业指数,20250314,SZ
159207.SZ,广发中证智选高股息策略ETF,高股息ETF广发,广发中证智选高股息策略交易型开放式指数证券投资基金,932305.CSI,中证智选高股息策略指数,20250409,SZ
159208.SZ,万家国证航天航空行业ETF,航空航天ETF万家,万家国证航天航空行业交易型开放式指数证券投资基金,CN5082.SZ,国证航天航空行业指数,20250512,SZ
159209.SZ,招商中证全指红利质量ETF,红利质量ETF招商,招商中证全指红利质量交易型开放式指数证券投资基金,932315.CSI,中证全指红利质量指数,20250325,SZ
159210.SZ,汇添富中证港股通汽车产业主题ETF,港股通汽车ETF汇添富,汇添富中证港股通汽车产业主题交易型开放式指数证券投资基金,931239.CSI,中证港股通汽车产业主题指数,20250604,SZ
